AQ1,AQ2,AQ3,AQ4,AOT1,AOT2,AT,HQ1,HQ2,HQ3,HQ4,HOT1,HOT2,HT
25,28,29,36,0,0,118,30,31,34,17,0,0,112
21,27,18,19,0,0,85,25,44,21,23,0,0,113
38,32,30,25,0,0,125,27,23,26,32,0,0,108
35,25,36,25,0,0,121,38,30,34,32,0,0,134
28,25,24,30,0,0,107,29,28,23,33,0,0,113
22,25,27,35,0,0,109,20,25,26,32,0,0,103
26,22,24,29,0,0,101,27,17,31,34,0,0,109
29,18,31,30,0,0,108,40,34,28,24,0,0,126
35,42,19,15,0,0,111,32,28,28,31,0,0,119
24,23,25,28,0,0,100,44,30,22,24,0,0,120
25,18,38,32,0,0,113,32,32,42,26,0,0,132
26,34,25,27,0,0,112,35,23,36,31,0,0,125
20,28,35,31,0,0,114,33,29,44,31,0,0,137
22,40,20,27,0,0,109,24,42,31,31,0,0,128
36,24,29,28,8,0,125,36,25,38,18,14,0,131
31,28,29,28,0,0,116,36,38,33,10,0,0,117
25,21,35,28,0,0,109,28,32,30,27,0,0,117
27,32,22,29,10,0,120,27,35,25,23,6,0,116
17,32,23,33,0,0,105,41,31,21,21,0,0,114
25,22,17,32,0,0,96,27,27,28,25,0,0,107
33,33,35,32,0,0,133,31,27,39,32,0,0,129
30,24,22,33,0,0,109,29,35,28,25,0,0,117
26,23,32,36,0,0,117,24,28,19,28,0,0,99
27,30,29,36,0,0,122,36,28,32,25,0,0,121
24,35,22,38,0,0,119,35,40,26,38,0,0,139
33,19,30,29,0,0,111,35,28,33,23,0,0,119
20,32,41,28,0,0,121,32,27,15,26,0,0,100
38,22,30,33,0,0,123,24,14,31,27,0,0,96
30,26,28,21,0,0,105,24,21,28,23,0,0,96
32,31,34,38,0,0,135,29,28,44,27,0,0,128
22,26,25,35,0,0,108,36,28,30,27,0,0,121
23,29,28,21,0,0,101,39,29,26,26,0,0,120
40,29,23,24,0,0,116,31,29,30,21,0,0,111
31,29,21,25,0,0,106,27,32,28,34,0,0,121
35,36,35,27,0,0,133,30,11,30,24,0,0,95
35,27,13,28,0,0,103,27,23,19,23,0,0,92
40,29,32,21,0,0,122,26,31,26,29,0,0,112
16,27,20,18,0,0,81,23,23,25,21,0,0,92
27,20,31,23,0,0,101,29,33,20,28,0,0,110
33,35,37,25,0,0,130,27,23,31,38,0,0,119
24,25,25,26,0,0,100,28,26,39,23,0,0,116
28,35,21,35,0,0,119,26,28,36,27,0,0,117
30,26,32,21,0,0,109,21,24,27,30,0,0,102
27,27,30,37,0,0,121,29,30,29,26,0,0,114
27,29,35,25,0,0,116,25,37,18,30,0,0,110
30,25,29,24,9,6,123,27,29,34,18,9,15,132
32,19,26,16,0,0,93,27,31,24,19,0,0,101
15,26,34,36,0,0,111,33,34,29,34,0,0,130
34,25,30,23,0,0,112,21,29,31,23,0,0,104
26,23,34,19,0,0,102,27,30,28,31,0,0,116
20,27,31,38,0,0,116,25,25,23,23,0,0,96
36,28,27,25,0,0,116,29,29,28,29,0,0,115
32,17,29,21,12,0,111,14,26,31,28,17,0,116
28,27,32,29,0,0,116,38,35,23,26,0,0,122
20,21,26,22,0,0,89,31,22,36,24,0,0,113
31,16,28,38,0,0,113,39,31,27,29,0,0,126
22,27,32,30,0,0,111,29,23,28,35,0,0,115
25,27,35,15,0,0,102,27,30,37,29,0,0,123
29,32,33,19,0,0,113,34,34,29,29,0,0,126
17,44,29,25,0,0,115,35,28,27,31,0,0,121
28,15,30,25,0,0,98,27,29,23,25,0,0,104
35,34,22,32,0,0,123,30,36,34,24,0,0,124
31,38,35,21,0,0,125,21,21,23,33,0,0,98
28,26,33,23,0,0,110,20,36,28,31,0,0,115
29,25,23,32,0,0,109,24,27,39,28,0,0,118
30,33,26,32,0,0,121,36,28,35,21,0,0,120
22,33,34,32,0,0,121,20,29,22,31,0,0,102
33,32,24,22,0,0,111,31,38,26,26,0,0,121
25,38,24,22,0,0,109,37,30,27,19,0,0,113
30,34,26,26,0,0,116,36,32,28,24,0,0,120
31,18,30,27,0,0,106,20,29,31,15,0,0,95
20,39,24,37,2,0,122,31,30,32,27,13,0,133
27,26,25,25,0,0,103,34,27,37,16,0,0,114
27,25,30,35,0,0,117,26,29,40,33,0,0,128
28,33,21,36,0,0,118,24,22,33,29,0,0,108
32,20,21,33,0,0,106,33,15,36,21,0,0,105
25,34,27,29,0,0,115,29,28,27,27,0,0,111
40,29,26,41,0,0,136,38,38,24,33,0,0,133
28,32,26,28,0,0,114,29,34,21,23,0,0,107
22,24,26,30,0,0,102,28,31,23,28,0,0,110
30,23,32,30,0,0,115,40,42,31,31,0,0,144
25,38,20,24,0,0,107,33,35,27,28,0,0,123
26,26,38,20,0,0,110,28,33,31,23,0,0,115
27,39,26,26,0,0,118,32,33,29,30,0,0,124
36,22,35,24,7,0,124,29,28,41,19,12,0,129
32,29,30,33,0,0,124,26,23,41,27,0,0,117
22,28,30,19,0,0,99,36,30,29,17,0,0,112
19,20,36,24,0,0,99,18,29,35,29,0,0,111
21,33,33,26,0,0,113,20,41,35,35,0,0,131
27,23,28,32,12,0,122,22,36,27,25,13,0,123
25,23,31,13,0,0,92,19,31,24,23,0,0,97
26,21,20,20,0,0,87,19,23,22,18,0,0,82
29,33,32,18,0,0,112,25,30,28,17,0,0,100
29,22,25,27,0,0,103,35,27,40,26,0,0,128
28,24,38,24,0,0,114,23,43,31,24,0,0,121
27,22,29,33,0,0,111,29,36,27,20,0,0,112
27,32,25,28,0,0,112,33,37,36,27,0,0,133
25,22,25,21,0,0,93,29,27,32,25,0,0,113
32,23,28,20,0,0,103,39,41,21,22,0,0,123
27,25,25,34,0,0,111,38,26,31,33,0,0,128
20,15,32,30,0,0,97,27,27,30,27,0,0,111
30,15,26,29,0,0,100,29,23,39,30,0,0,121
37,28,23,22,12,0,122,24,26,32,28,8,0,118
35,38,34,20,14,0,141,33,36,28,30,7,0,134
26,28,33,32,0,0,119,27,47,19,32,0,0,125
22,40,32,30,0,0,124,50,26,29,30,0,0,135
29,35,28,25,11,0,128,28,27,33,29,3,0,120
23,36,29,36,0,0,124,31,31,32,29,0,0,123
31,33,22,24,0,0,110,31,21,32,24,0,0,108
39,34,24,31,0,0,128,28,29,32,23,0,0,112
26,34,23,22,0,0,105,19,22,27,22,0,0,90
31,36,28,33,0,0,128,38,34,30,39,0,0,141
21,22,22,23,0,0,88,19,19,29,32,0,0,99
29,37,20,25,0,0,111,29,23,33,23,0,0,108
18,23,30,30,0,0,101,33,37,47,25,0,0,142
25,37,33,28,6,0,129,27,31,33,32,9,0,132
29,35,25,22,0,0,111,18,19,33,25,0,0,95
38,37,23,27,0,0,125,24,35,33,14,0,0,106
28,27,38,29,0,0,122,29,34,23,27,0,0,113
32,30,26,29,0,0,117,28,26,27,28,0,0,109
31,30,33,18,0,0,112,29,25,29,35,0,0,118
38,19,24,25,0,0,106,33,22,33,30,0,0,118
19,33,36,31,0,0,119,29,33,22,32,0,0,116
29,29,29,27,0,0,114,32,21,22,16,0,0,91
30,33,25,24,0,0,112,28,22,41,19,0,0,110
32,31,22,25,0,0,110,31,41,38,20,0,0,130
32,33,23,20,0,0,108,33,31,29,33,0,0,126
28,29,18,18,0,0,93,20,30,22,30,0,0,102
25,27,28,31,0,0,111,28,27,29,17,0,0,101
29,20,26,21,3,0,99,27,20,20,29,4,0,100
33,24,28,22,0,0,107,27,24,14,30,0,0,95
22,25,36,14,0,0,97,27,29,36,31,0,0,123
21,22,33,33,0,0,109,25,39,27,24,0,0,115
34,29,26,25,0,0,114,27,19,38,34,0,0,118
26,24,18,27,0,0,95,23,18,30,21,0,0,92
29,25,30,25,0,0,109,28,25,32,21,0,0,106
21,33,44,26,0,0,124,35,36,25,25,0,0,121
36,32,34,24,0,0,126,26,28,26,30,0,0,110
34,31,32,29,0,0,126,32,39,42,37,0,0,150
25,27,28,35,0,0,115,20,35,39,25,0,0,119
29,23,36,29,0,0,117,30,36,21,32,0,0,119
21,23,27,28,0,0,99,29,33,28,32,0,0,122
23,23,32,21,2,0,101,22,35,21,21,5,0,104
27,38,29,31,0,0,125,34,34,36,22,0,0,126
35,25,32,32,0,0,124,28,34,14,29,0,0,105
30,14,30,32,0,0,106,21,36,37,22,0,0,116
30,36,34,28,0,0,128,27,34,29,29,0,0,119
28,30,36,27,0,0,121,28,33,33,29,0,0,123
24,20,33,27,0,0,104,38,30,31,31,0,0,130
39,27,25,34,0,0,125,30,33,29,27,0,0,119
31,30,34,31,0,0,126,24,36,25,26,0,0,111
31,21,36,25,0,0,113,21,36,20,26,0,0,103
25,31,25,13,0,0,94,33,36,31,32,0,0,132
27,26,27,33,0,0,113,30,18,30,32,0,0,110
14,26,31,20,0,0,91,35,20,29,21,0,0,105
20,22,35,29,0,0,106,35,25,33,21,0,0,114
29,22,27,15,0,0,93,37,26,29,21,0,0,113
30,31,20,29,0,0,110,25,26,26,31,0,0,108
42,29,29,17,0,0,117,22,21,42,27,0,0,112
17,34,28,34,0,0,113,46,45,18,34,0,0,143
28,35,24,26,0,0,113,27,26,27,26,0,0,106
25,29,31,31,0,0,116,31,33,23,23,0,0,110
29,22,24,29,0,0,104,31,21,22,25,0,0,99
32,22,24,20,0,0,98,22,27,29,23,0,0,101
26,32,28,34,0,0,120,25,41,40,28,0,0,134
19,21,34,31,0,0,105,37,34,26,29,0,0,126
17,29,29,42,0,0,117,37,28,29,32,0,0,126
27,39,24,22,0,0,112,30,30,33,27,0,0,120
28,33,28,24,0,0,113,34,27,33,39,0,0,133
33,30,22,29,0,0,114,24,27,34,34,0,0,119
34,29,18,24,0,0,105,32,28,35,35,0,0,130
29,27,30,23,0,0,109,22,32,34,33,0,0,121
29,18,28,25,0,0,100,36,24,25,33,0,0,118
39,30,29,20,0,0,118,31,22,25,29,0,0,107
29,29,31,29,0,0,118,22,38,32,25,0,0,117
30,31,20,31,0,0,112,24,26,34,22,0,0,106
31,25,28,27,0,0,111,28,30,24,26,0,0,108
33,31,16,32,16,0,128,23,23,31,35,13,0,125
27,37,16,27,0,0,107,32,26,35,27,0,0,120
39,20,38,28,0,0,125,20,18,31,31,0,0,100
